keyword, count
"patents",2427233
"patents trademarks",129128
"trademarks patents",122727
"patents inventions",83226
"patents news",12062
"fresh patents rfid",8356
"software patents",8271
"us patents",6915
"patents and trademarks",5318
"patents eu",5034
"us patents search",3977
"search patents",3766
"keywords patents",3731
"invention patents",2783
"patents and intellectual property rights",2066
"inventions patents",1938
"trademarks and patents",1891
"land patents",1857
"how to patents an invention",1849
"drug patents",1833
"design patents",1704
"norco patents",1674
"apple itunes patents",1638
"patents microsoft redhat",1621
"canadian patents",1548
"inventions and patents",1533
"patents us",1528
"patents information",1519
"patents office",1454
"patent patents",1388
"obtaining patents",1370
"patents lawyers",1366
"idea patents",1307
"european patents",1099
"u s patents",1010
"free patents",986
"government patents",917
"generic drug patents",914
"patents microsoft",860
"patents for sale",834
"uk patents",834
"international patents",833
"pending patents",796
"patents search",794
"provisional patents",774
"us patents and trademarks",748
"world patents pharmaceutical",740
"united states patents",693
"south africa patents",659
"alexander graham bell 2b patents",653
"biometrics patents",652
"alexander graham bell 2b us patents",625
"us patents trademarks",612
"patents protection",583
"patents issued",559
"patents online",541
"free patents online",525
"u.s patents",507
"eli lilly patents",502
"obscure patents",501
"usa patents",497
"thomas edison patents",451
"canada patents",449
"generic drug information patents",439
"us patents office",430
"list of patents",416
"british patents",404
"writing patents",390
"patents+inventions",382
"ultracet drug patents",375
"weird patents",366
"patents and copyrights",364
"german patents",360
"the patents office",357
"food patents",355
"succesful us patents",353
"designs and patents",350
"u.s. patents",340
"early photography patents",339
"tesla patents",339
"inventors patents",338
"free software patents linux",335
"software patents policy eu usa",335
"pharmaceutical patents",333
"copyright designs patents act 1998",327
"invention 2b 19th century 2b patents",320
"people with patents",315
"business patents",313
"us government patents",313
"business method patents",312
"patents trademarks copyrights",309
"search us patents",309
"current patents",299
"patents copyrights",296
"patent office patents",292
"business methods patents",287
"patents downloads",285
"patent or patents",284
"biotechnology patents",282
"singapore airlines limited27s patents",279
"famous patents",276
"inventions free patents",275
"patents in india",272
"patents 0,041",270
"patents biotech",270
"patents pending",268
"dog canine toy patents",266
"patents for dummies",266
"greg27s patents bionic toupee2c sanitary toothbrush holder",265
"patents for inventions",265
"ridiculous patents",265
"patent information office patents",264
"patent office belgium patents",261
"patents for voice recognition technology",259
"patent information patents",257
"electronic signatures on patents",255
"soichiro honda 100 patents",254
"land patents washington county wisconsin",253
"patents canada",253
"uspto database patents",253
"expired patents",251
"intellectual property patents",251
"australian patents",249
"patents sterling engine",249
"patents 2b claims 2b elements 2b infringement 2b equivalent",247
"copyright designs and patents act 1998",245
"us patents before 1975 download",245
"canadian article on patents of plavix",243
"henry wallace patents",243
"air plane flight patents",242
"patents issued 72f152f04",242
"us patents online",241
"dye sublimation patents",240
"swedish memory foam patents",239
"database us patents",238
"casino gaming patents",237
"zithromax patents",237
"database of patents",235
"patents an invention",235
"police logo design patents",233
"prescription drug patents",233
"new patents septic systems",232
"electronics patents patent power converter sundstrand",231
"patent and trademark us patents",231
"copyright designs patents act",230
"old patents",229
"us goverment patents",229
"police hat logo design patents",228
"uspo patents",228
"american patents",227
"california federal land patents on line",227
"number of patents issued 2003",226
"what nation is foremost in us patents",224
"davison design product patents",223
"car patents",222
"india patents",221
"us patents for sale",221
"auburn new york history patents",220
"fishing lure us patents for sale",220
"selling patents on ebay",220
"us patents and trademark search",220
"us patents for sale or license",220
"industrial design patents canada search",219
"propelling pencil2c us patents",219
"search business patents",219
"software testing patents",219
"us patents registry",219
"application for us patents",218
"us loses lead in patents",218
"us patent 26 trademark office listings of patents for sale",218
"us plant patents",218
"designs netherlands design patents us difference",217
"us water irrigation patents",217
"legal traffic lights patents",216
"record u s us patents",216
"u s us patents",216
"us patents application3a 0030066925",215
"us patents kirtis thomas",215
"funny patents",214
"publications by us patent 26trademark office patents for",214
"us patents sept 282c 1911",214
"california institute of technology 80 new patents",213
"claims us patents",213
"how many patents are registered for thomas a edison",213
"keep key patents alive in the patent office",213
"patents currently registered with the us patent office",213
"patents with the 666 mark of the beast",213
"publications by us patent trademark office patents for sale",213
"patent office us patents",211
"patents and copyright laws on scanned images and documents",211
"meals on wheels for aids patents orange county",210
"us patents expired",210
"us patents issued by japan",209
"us patents tesla",209
"number of registered us patents",208
"us gov patents archive",208
"us patents full text print out",208
"us department of trademarks and patents",205
"bt patents",203
"copyright designs and patents act",202
"us barbeque sauce patents",202
"games patents",200
"marketing generic vs name brand prescription drugs patents",200
"anxietynorco patents",199
"searches us patents",197
"how to find us patents filed before 1979",196
"ibm database patents",196
"how to find those with patents on furniture items",195
"us design patents for computers",193
"free gifts for hiv aids patents tx",191
"patents flying disc",191
"wacky patents",189
"land patents ga 1832",188
