keyword,count
"""prom dress""",55
"100 dress prom under",303
"100 dress under prom",56
"1950 prom dress",37
"1950s prom dress",136
"2 piece prom dress",9910
"2+piece+prom+dress",49
"2001 prom dress",189
"2002 prom dress",2601
"2003 2004 dress prom",78
"2003 best dress prom",192
"2003 designer dress prom",86
"2003 dress new prom",217
"2003 dress prom",47
"2003 prom dress",5315
"2004 best dress prom",62
"2004 by dress prom tiffany",40
"2004 catalog dress prom",50
"2004 cheap dress prom",82
"2004 designer dress prom",61
"2004 designer prom dress",88
"2004 dress gown prom",60
"2004 dress jessica mcclintock prom",97
"2004 dress lee mori prom",61
"2004 dress new prom",37
"2004 dress prom",1576
"2004 dress prom shoes",78
"2004 dress prom tiffany",94
"2004 prom dress",3139
"2005 designer dress major prom",96
"2005 designer dress prom",49
"2005 designer prom dress",168
"2005 dress prom",916
"2005 dress prom designer",44
"2005 pink prom dress",154
"2005 prom dress",824
"2005 prom dress designer",39
"2005 vintage prom dress",620
"2006 dress jessica mcclintock prom",132
"2006 dress prom",49
"2006 excite prom dress",49
"2006 prom dress",948
"2006 prom dress showcase",130
"2007 prom dress",289
"50''''s prom dress",176
"50s prom dress",194
"50s style prom dress",36
"50s vintage prom dress",735
"60''''s prom dress",63
"70''''s prom dress",52
"80 ''''s prom dress",126
"80''''s prom dress",211
"80s prom dress",868
"a line plus size prom dress",642
"a prom dress",170
"accessory clothing dress prom shoes",51
"affordable dress plus prom size",242
"affordable prom dress",1630
"alfred angelo prom dress",5023
"allyce prom dress 2006",90
"alyce design dress prom",281
"alyce design prom dress",603
"alyce designs prom dress",93
"alyce prom dress",5465
"alyce prom dress 2005",195
"alyce prom dress 2006",73
"american prom dress",64
"angelina jolie prom dress",37
"angelina prom dress",57
"angelo prom dress",68
"aqua prom dress",168
"asian prom dress",81
"attitudes by debra prom dress ld-303",801
"aylce designs prom dress",178
"baby blue prom dress",239
"baby phat prom dress",73
"baby pink prom dress",168
"backless prom dress",278
"ball gown formal dress gothic corset prom",61
"ball gown prom dress",544
"ball prom dress",38
"ballerina prom dress",46
"bargain prom dress",932
"bcbg prom dress",206
"beaded prom dress",2534
"beautiful prom dress",2770
"beautiful sexy prom dress",235
"best dress prom",40
"best prom dress",151700
"best prom dress ever",36
"best prom dress for brown eyes",94
"best sexy prom dress",202
"best+prom+dress",104
"beyonce dress prom",97
"beyonce prom dress",105
"bfast click loc http search.ebay.com prom dress",37
"bfast click loc http search.ebay.com prom formal dress",51
"big prom dress",44
"black and pink prom dress",53
"black and red prom dress",725
"black and white prom dress",262
"black designer prom dress",68
"black dress plus prom size",171
"black dress prom",62
"black dress prom white",684
"black halter top prom dress",51
"black pink prom dress",48
"black plus size prom dress",45
"black prom dress",8129
"black white prom dress",106
"blondie nites prom dress",37
"blue dress prom",41
"blue prom dress",1467
"boy wearing prom dress",59
"bridal and prom dress shops in southern california",155
"bridal dress gown prom",120
"bridal prom dress",46
"bridesmaid and prom dress",220
"bridesmaid dress gown prom",44
"brown prom dress",192
"bryant dress lane prom",51
"bug dress fashion prom",49
"burgundy prom dress",81
"butterfly prom dress",46
"buy a prom dress",82
"buy prom dress",67
"buy that special prom dress",76
"by designer prom dress",40
"by dress jessica mcclintock prom",102
"by dress lee mori prom",46
"by prom designer dress",39
"cache prom dress",96
"camo prom dress",70
"camoflauge prom dress",53
"camouflage prom dress",138
"canadian dress prom",107
"casual prom dress",57
"catalog dress free prom request",38
"catalog dress plus prom size",272
"celebrity dress prom",56
"celebrity inspired prom dress",59
"celebrity prom dress",805
"champagne prom dress",39
"cheap alyce prom dress",86
"cheap designer dress prom",41
"cheap designer prom dress",88
"cheap discount prom dress",78
"cheap dress formal prom",86
"cheap dress gown homecoming prom",40
"cheap dress gown prom",45
"cheap dress homecoming prom",226
"cheap dress modest prom",56
"cheap dress pretty prom",40
"cheap dress priced prom",49
"cheap dress prom",759
"cheap dress prom sexy",183
"cheap dress prom very",72
"cheap elegant prom dress",45
"cheap formal prom dress",48
"cheap green prom dress",36
"cheap homecoming and prom dress and gown",39
"cheap modest prom dress",105
"cheap pink prom dress",43
"cheap plus size prom dress",2948
"cheap plus sized prom dress",54
