keyword, count
"refinance",25394347
"refinance mortgage",10948298
"mortgage refinance",2992300
"refinance home",2238553
"student loan refinance",1676574
"refinance home loan",1522258
"refinance home mortgage",1280327
"home refinance",1008638
"california refinance",834196
"refinance loan",796526
"how to refinance",555974
"auto refinance",542702
"bad credit refinance",465446
"mortgages refinance",462207
"refinance mortgages",420149
"refinance mortgage rate",410303
"refinance loans",366440
"home mortgage refinance",353792
"refinance california",343498
"refinance mortgage loan",334588
"bad credit mortgage refinance",328102
"refinance home loans",327148
"refinance house",303159
"florida refinance mortgage",278689
"refinance my house",248218
"refinance mortgage with bad credit",220523
"mortage refinance",188820
"home mortgage refinance loan",183011
"refinance auto loan",182812
"refinance rates",177052
"florida refinance",160994
"refinance second mortgage",148059
"refinance student loan",136237
"refinance rate",124053
"refinance car loan",120889
"refinance morgage",117229
"home loan refinance",107692
"best refinance mortgage rate",106889
"refinance home equity loan",102073
"mortgage refinance california",95957
"home loan mortgage refinance loan",89863
"mortgage refinance loan",79211
"auto loan refinance",79198
"refinance home mortgage marketing",76412
"mortgage refinance calculator",75722
"refinance cash",68653
"loan refinance",67555
"refinance credit unions",67007
"cash out refinance",66856
"florida refinance mortgage rate",66728
"best refinance loan",65735
"refinance 2nd mortgage",64888
"chicago consolidate mortgage refinance",62922
"home refinance mortgage",61212
"refinance with bad credit",56696
"after bankruptcy mortgage refinance",51922
"refinance a home",49449
"refinance calculator",48652
"home equity loan refinance credit",47891
"best refinance mortgage",47602
"automobile refinance",47193
"va refinance loan",45738
"va home loan refinance",45503
"refinance mortgage company",44100
"refinance homes",42095
"mortgage loan refinance",42081
"mortgage refinance florida",41522
"mortgage loan refinance and debt consolidation",40184
"fha refinance",39211
"refinance mortgage texas",37243
"loan refinance mortgage",37227
"refinance mortgage lead",37168
"refinance mobile home",36814
"connecticut refinance mortgage",36460
"2nd mortgage refinance",35983
"refinance home equity",35897
"refinance mortage",35370
"va loan refinance",34903
"refinance a mortgage loan",34512
"mortgage refinance rate",34124
"best refinance rate",32279
"refinance mortgage application",31769
"mortgage refinance connecticut",31431
